Name,LTP:Last Trade Price,High,Low,CLOSEUP,YCP:Yesterday Closing Price,Change,Trade,Value,Volume
RECKITTBEN,"4,130","4,238.5","4,130","4,144.8","4,177.5",-47.5,34,0.776,187
MARICO,"2,164.3","2,190","2,135","2,164.3","2,152.4",11.9,146,3.792,"1,752"
UNILEVERCL,"1,934.2","1,934.2","1,801","1,934.2","1,820.5",113.7,351,10.549,"5,524"
BERGERPBL,"1,744","1,779","1,717.8","1,747.3","1,739",5,53,1.884,"1,083"
EASTRNLUB,"1,438.2","1,495.9","1,434","1,438.2","1,457",-18.8,239,3.365,"2,333"
LINDEBD,"1,002.5","1,018.5","1,000","1,002.5","1,018.8",-16.3,146,1.378,"1,372"
BATASHOE,963.5,974,955.1,966,963.7,-0.2,11,0.057,59
RENWICKJA,783.6,794.8,759.9,783.6,783.4,0.2,114,2.202,"2,813"
KOHINOOR,777.1,816,776.8,777.1,800.8,-23.7,"2,961",150.795,"190,556"
AMBEEPHA,735.6,740,721,727.4,735,0.6,38,0.443,609
RENATA,728.1,758,726.5,728.1,744,-15.9,567,8.164,"11,134"
PHARMAID,697.6,727.9,697.5,697.6,719,-21.4,"1,347",30.908,"43,766"
LIBRAINFU,693.4,720.9,688.5,693.4,709.7,-16.3,670,11.99,"17,247"
SONALIANSH,637.7,653,633.2,637.7,643.2,-5.5,"1,633",63.125,"98,898"
WALTONHIL,592.5,602,590.4,592.5,595.2,-2.7,264,2.591,"4,372"
ORIONINFU,578.7,614.9,578.7,578.7,596.5,-17.8,"3,320",205.761,"345,474"
MONNOAGML,449.5,456,445.1,447.7,450.1,-0.6,334,6.183,"13,829"
SONALIPAPR,406.4,422,406.4,406.4,418.9,-12.5,467,11.4,"27,944"
NTC,389.3,399,387,389.3,392.8,-3.5,15,0.047,122
BATBC,363.3,372.9,362.2,363.3,372.9,-9.6,"1,672",41.276,"112,986"
JUTESPINN,320.5,345.8,320.5,320.9,330.1,-9.6,36,0.19,592
GEMINISEA,297.9,307.7,295,297.9,304,-6.1,"1,597",37.847,"126,047"
ARAMIT,296.9,305.9,274.3,296.9,281.7,15.2,999,30.889,"104,851"
KAY&QUE,260,267,250.1,252.4,257.3,2.7,560,8.599,"33,321"
APEXFOODS,255.1,261.6,254.7,255.1,257.8,-2.7,193,2.722,"10,623"
IBNSINA,250,253.9,249.1,250,251.8,-1.8,106,0.879,"3,517"
GP,237,239,236.5,237,238.6,-1.6,423,8.978,"37,882"
APEXFOOT,233.9,236.5,233.1,233.9,237.7,-3.8,233,4.838,"20,633"
AMCL(PRAN),231.6,238,230.6,230.9,237.7,-6.1,149,3.38,"14,635"
SQURPHARMA,209.5,212,208.9,209.5,211.2,-1.7,"1,170",35.856,"170,956"
HEIDELBCEM,208.6,214.1,208,208.6,214.3,-5.7,228,4.608,"21,910"
MPETROLEUM,198.6,198.6,198.6,198.6,198.6,0,3,0.002,8
KBPPWBIL,197,199,180.2,197,182.5,14.5,743,76.866,"398,291"
PADMAOIL,185.3,188,185.3,185.8,188.2,-2.9,29,0.188,"1,011"
AL-HAJTEX,183.3,184.8,179.7,183.3,182.5,0.8,879,34.884,"191,350"
FINEFOODS,173.5,174.8,170.8,173.5,172.2,1.3,172,2.852,"16,485"
BEACONPHAR,172.6,173.8,172.6,172.6,177.9,-5.3,286,29.515,"170,964"
SHYAMPSUG,171.7,174.7,171.7,171.8,172.3,-0.6,166,2.646,"15,325"
JAMUNAOIL,171.2,173,171,171.2,172.4,-1.2,189,1.764,"10,282"
MONOSPOOL,161.7,168.9,161.4,161.7,166.1,-4.4,302,3.024,"18,450"
JMISMDL,158.2,164.4,157.7,158.2,162.5,-4.3,468,8.773,"55,146"
RUPALILIFE,152.1,154.5,150.3,152.1,154.9,-2.8,"1,493",74.064,"487,797"
CVOPRL,146.2,151.5,145.1,146.2,149.2,-3,384,7.421,"50,192"
ACI,143.7,145.2,141.4,141.8,145.7,-2,218,2.608,"18,263"
RANFOUNDRY,142.2,144.2,141.2,142.3,142.7,-0.5,75,1.063,"7,476"
ANWARGALV,138.6,143.8,138.5,138.6,142.7,-4.1,772,15.878,"113,450"
RAHIMTEXT,137.6,143.3,137.6,138,141.8,-4.2,78,1.033,"7,438"
PRAGATILIF,135.7,136.8,129.4,135.7,129.6,6.1,994,94.16,"716,354"
NORTHERN,135.4,135.4,131.9,132.9,131.3,4.1,20,0.081,612
ECABLES,135,138.9,134.5,135,137.3,-2.3,71,0.423,"3,123"
PAPERPROC,133.6,139.7,133,133.6,136.8,-3.2,328,5.077,"37,756"
OLYMPIC,132.2,137.4,131,132.2,134,-1.8,623,19.715,"146,344"
WATACHEM,132,139.4,131,132,134.9,-2.9,60,0.442,"3,337"
GQBALLPEN,131.4,133.9,131.1,131.4,135.1,-3.7,756,33.249,"252,583"
ACIFORMULA,130.3,131.9,129,130.5,131.9,-1.6,141,1.332,"10,183"
HAMI,130.3,130.6,130.3,130.3,134.3,-4,38,0.856,"6,573"
AIL,128,130.9,128,128,131.9,-3.9,663,109.076,"851,295"
UPGDCL,128,131.5,127.6,128,131,-3,258,2.373,"18,342"
BDLAMPS,127,134.8,127,128.5,130.8,-3.8,112,1.224,"9,406"
SINGERBD,124.6,128.5,124.5,124.6,126.1,-1.5,173,4.245,"33,968"
BSCCL,123.5,127,122.9,123.2,126.6,-3.1,513,8.64,"69,972"
RAHIMAFOOD,121.6,128.9,121.6,121.6,125.3,-3.7,344,7.378,"60,197"
BXPHARMA,119.3,124.4,119.1,119.3,122.4,-3.1,523,13.024,"108,459"
TAMIJTEX,118.8,123.2,118.6,118.8,122.2,-3.4,186,2.032,"17,056"
BEXIMCO,115.6,115.6,115.6,115.6,115.6,0,2,0.04,347
BANGAS,114.8,116.8,113,114.8,116.2,-1.4,250,5.091,"44,500"
APEXSPINN,114.5,114.5,113.1,113.2,114.1,0.4,66,1.6,"14,131"
ZEALBANGLA,110,110.5,109.5,110,111.4,-1.4,50,0.312,"2,835"
NAVANAPHAR,109.9,115.5,109.9,109.9,113.2,-3.3,"2,898",165.741,"1,483,323"
BDAUTOCA,109.8,113.5,107.1,107.9,110.2,-0.4,188,1.863,"17,153"
BSC,108.8,113,108.4,108.8,111.7,-2.9,"1,050",26.407,"241,282"
NATLIFEINS,104,104.8,102.5,103.7,105.2,-1.2,224,5.661,"54,379"
ADNTEL,98.7,100.9,97.6,98.7,97.2,1.5,659,13.25,"133,974"
LOVELLO,94.4,95.3,94.4,94.4,97.3,-2.9,415,42.749,"452,626"
APEXTANRY,93.8,96.4,93.8,93.8,96.6,-2.8,125,2.178,"23,075"
DELTALIFE,92.3,96.8,92.3,92.3,95.1,-2.8,370,6.726,"72,320"
CRYSTALINS,91.4,94,91.4,91.4,94.2,-2.8,152,2.154,"23,468"
STANCERAM,90.5,91,89.7,90.5,90.2,0.3,107,0.534,"5,880"
CITYGENINS,88.8,91,88.7,89.5,89.4,-0.6,161,13.788,"154,014"
SONALILIFE,88.5,90.2,85.1,87.1,87.6,0.9,954,45.688,"520,518"
SEAPEARL,87.2,89,86.5,87.2,87.7,-0.5,"1,325",64.776,"740,443"
DSHGARME,86.1,88.1,86,86.3,88.3,-2.2,62,0.798,"9,221"
LEGACYFOOT,83.1,84.5,78.6,83.1,78.1,5,"2,980",84.464,"1,033,823"
EHL,82.3,85,81.6,82.3,83.3,-1,"1,186",33.308,"397,792"
MONNOCERA,82.3,85.4,81.6,82.3,83.5,-1.2,523,9.309,"111,789"
MJLBD,80.8,81.6,80.6,80.8,81.9,-1.1,155,1.333,"16,463"
PTL,79.5,81.8,79,79.5,81.2,-1.7,"1,272",56.992,"712,116"
MEGHNACEM,78.9,79.7,77.5,78.9,78.8,0.1,218,16.262,"206,287"
DAFODILCOM,78.4,80.8,78.4,78.8,79.1,-0.7,99,4.683,"58,397"
MEGHNALIFE,75.6,78.1,75.5,75.6,77.8,-2.2,700,27.228,"357,301"
ASIATICLAB,73.3,75.4,73.3,73.3,75.5,-2.2,850,76.403,"1,039,941"
JHRML,72.5,74.5,72.5,72.5,74.7,-2.2,474,17.439,"238,803"
AZIZPIPES,72.5,74.1,71.5,72.4,73.7,-1.2,113,0.979,"13,585"
CONFIDCEM,71,73,71,71,73.1,-2.1,267,4.838,"67,702"
